DateTimestamp,Ticker,Asset,NetTradeAmount,Action
2023-01-30 07:59:55,VBMPX,Bonds,1000,Buy
2023-01-31 11:37:55,VTINX,Stocks,11542,Buy
2023-02-11 06:21:25,VTINX,Bonds,4674,Buy
2023-01-15 03:55:37,VTINX,Stocks,11236,Buy
2023-02-10 00:53:59,VTPSX,Stocks,15310,Buy
2023-02-13 08:13:30,VTPSX,Bonds,11827,Buy
2023-01-15 18:20:55,VTINX,Bonds,19838,Buy
2023-01-24 02:34:50,VTINX,Bonds,17897,Buy
2023-01-13 08:58:15,VTPSX,Stocks,1000,Sell
2023-01-17 19:40:12,VTPSX,Stocks,4982,Sell
2023-01-20 02:09:17,VTINX,Bonds,5797,Sell
2023-02-01 05:55:07,VIIIX,Bonds,3089,Buy
2023-02-19 01:02:59,VTINX,Bonds,18173,Buy
2023-01-29 11:09:08,VTPSX,Bonds,1000,Buy
2023-02-02 04:40:53,VIIIX,Stocks,18144,Buy
2023-01-05 18:14:06,VBMPX,Bonds,1000,Sell
2023-01-22 14:29:54,VBMPX,Bonds,1000,Sell
2023-01-16 17:17:12,VTINX,Bonds,11197,Buy
2023-02-04 12:53:36,VTPSX,Bonds,13612,Buy
2023-01-22 09:57:13,VIIIX,Stocks,20169,Buy
2023-02-20 12:10:00,VIIIX,Stocks,25782,Buy
2023-01-20 03:10:48,VIIIX,Stocks,18260,Buy
2023-01-20 00:54:23,VIIIX,Stocks,25229,Buy
2023-02-20 12:10:00,VTINX,Stocks,10763,Buy
2023-01-20 10:04:54,VTPSX,Stocks,1000,Sell
2023-01-09 07:38:23,VIIIX,Stocks,30500,Buy
2023-02-11 10:37:11,VBMPX,Stocks,1000,Sell
2023-02-10 02:38:57,VIIIX,Stocks,24652,Buy
2023-01-08 02:52:58,VBMPX,Stocks,3095,Sell
2023-01-14 15:39:03,VTPSX,Stocks,14110,Sell
2023-01-13 15:00:34,VTPSX,Bonds,1000,Sell
2023-01-30 07:42:30,VIIIX,Stocks,5184,Buy
2023-01-27 07:38:12,VBMPX,Stocks,1000,Sell
2023-01-27 04:06:48,VIIIX,Stocks,22895,Buy
2023-01-05 11:13:30,VTINX,Stocks,6223,Sell
2023-02-01 20:42:54,VTPSX,Bonds,1000,Sell
2023-01-24 09:20:20,VBMPX,Bonds,1000,Sell
2023-01-24 22:48:18,VTPSX,Bonds,11016,Sell
2023-01-28 10:19:37,VBMPX,Stocks,10370,Sell
2023-01-21 06:27:29,VTPSX,Bonds,1000,Buy
2023-02-05 18:45:33,VBMPX,Bonds,1000,Sell
2023-01-11 09:14:47,VTINX,Stocks,5739,Buy
2023-02-09 23:07:19,VIIIX,Stocks,28274,Buy
2023-01-22 11:48:27,VIIIX,Stocks,22635,Buy
2023-01-07 04:09:37,VTINX,Stocks,8641,Buy
2023-02-12 04:29:36,VTINX,Bonds,8705,Buy
2023-01-19 10:03:38,VTPSX,Bonds,1000,Sell
2023-02-01 17:53:26,VBMPX,Bonds,1000,Sell
2023-02-09 03:57:46,VTPSX,Stocks,13859,Buy
2023-01-04 05:49:23,VIIIX,Bonds,12032,Buy
2023-01-20 10:38:46,VTPSX,Bonds,4708,Buy
2023-02-01 02:17:28,VIIIX,Stocks,19699,Buy
2023-01-14 02:30:56,VTPSX,Stocks,2986,Sell
2023-01-25 08:52:02,VTPSX,Stocks,20926,Sell
2023-01-03 09:30:00,VTINX,Stocks,20098,Buy
2023-01-24 07:18:20,VTINX,Stocks,13591,Buy
2023-01-08 09:05:54,VTINX,Stocks,11811,Buy
2023-01-21 19:42:28,VTPSX,Bonds,4764,Buy
2023-01-25 07:32:11,VBMPX,Bonds,1000,Sell
2023-01-29 03:22:59,VTPSX,Bonds,2323,Buy
2023-02-05 08:07:46,VBMPX,Stocks,6569,Sell
2023-01-22 23:26:50,VIIIX,Stocks,22259,Buy
