DateTimestamp,Ticker,Asset,NetTradeAmount,Action
2023-01-30 07:59:55,VBMPX,Bonds,500,Buy
2023-01-31 11:37:55,VTINX,Stocks,11042,Buy
2023-02-11 06:21:25,VTINX,Bonds,4174,Buy
2023-01-15 03:55:37,VTINX,Stocks,10736,Buy
2023-02-10 00:53:59,VTPSX,Stocks,14810,Buy
2023-02-13 08:13:30,VTPSX,Bonds,11327,Buy
2023-01-15 18:20:55,VTINX,Bonds,19338,Buy
2023-01-24 02:34:50,VTINX,Bonds,17397,Buy
2023-01-13 08:58:15,VTPSX,Stocks,500,Sell
2023-01-17 19:40:12,VTPSX,Stocks,4482,Sell
2023-01-20 02:09:17,VTINX,Bonds,5297,Sell
2023-02-01 05:55:07,VIIIX,Bonds,2589,Buy
2023-02-19 01:02:59,VTINX,Bonds,17673,Buy
2023-01-29 11:09:08,VTPSX,Bonds,500,Buy
2023-02-02 04:40:53,VIIIX,Stocks,17644,Buy
2023-01-05 18:14:06,VBMPX,Bonds,500,Sell
2023-01-22 14:29:54,VBMPX,Bonds,500,Sell
2023-01-16 17:17:12,VTINX,Bonds,10697,Buy
2023-02-04 12:53:36,VTPSX,Bonds,13112,Buy
2023-01-22 09:57:13,VIIIX,Stocks,19669,Buy
2023-02-20 12:10:00,VIIIX,Stocks,25282,Buy
2023-01-20 03:10:48,VIIIX,Stocks,17760,Buy
2023-01-20 00:54:23,VIIIX,Stocks,24729,Buy
2023-02-20 12:10:00,VTINX,Stocks,10263,Buy
2023-01-20 10:04:54,VTPSX,Stocks,500,Sell
2023-01-09 07:38:23,VIIIX,Stocks,30000,Buy
2023-02-11 10:37:11,VBMPX,Stocks,500,Sell
2023-02-10 02:38:57,VIIIX,Stocks,24152,Buy
2023-01-08 02:52:58,VBMPX,Stocks,2595,Sell
2023-01-14 15:39:03,VTPSX,Stocks,13610,Sell
2023-01-13 15:00:34,VTPSX,Bonds,500,Sell
2023-01-30 07:42:30,VIIIX,Stocks,4684,Buy
2023-01-27 07:38:12,VBMPX,Stocks,500,Sell
2023-01-27 04:06:48,VIIIX,Stocks,22395,Buy
2023-01-05 11:13:30,VTINX,Stocks,5723,Sell
2023-02-01 20:42:54,VTPSX,Bonds,500,Sell
2023-01-24 09:20:20,VBMPX,Bonds,500,Sell
2023-01-24 22:48:18,VTPSX,Bonds,10516,Sell
2023-01-28 10:19:37,VBMPX,Stocks,9870,Sell
2023-01-21 06:27:29,VTPSX,Bonds,500,Buy
2023-02-05 18:45:33,VBMPX,Bonds,500,Sell
