DateTimestamp,Ticker,Asset,CurrentHolding,Quantity,Action,Price,RiskTolerance,MarketCondition
2023-01-03 09:30:00,AAPL,Stocks,329,44,Sell,200,Moderate,Bullish
2023-01-03 09:30:00,AAPL,Stocks,200,84,Buy,150,Moderate,Bullish
2023-01-03 09:30:00,AAPL,Stocks,204,77,Sell,173,Moderate,Bullish
2023-01-03 09:30:00,AAPL,Stocks,335,60,Buy,162,Moderate,Bullish
2023-01-03 09:30:00,AAPL,Stocks,324,77,Sell,176,Moderate,Bullish
2023-01-03 09:30:00,AAPL,Stocks,261,100,Sell,172,Moderate,Bullish
2023-01-28 09:32:22,AAPL,Stocks,260,72,Buy,159,Moderate,Bullish
2023-01-28 17:43:35,AAPL,Stocks,266,62,Sell,195,Moderate,Bullish
2023-01-29 22:20:25,AAPL,Stocks,320,64,Buy,178,Moderate,Bullish
2023-02-03 17:33:08,AAPL,Stocks,265,39,Buy,171,Moderate,Bullish
2023-02-07 06:40:34,AAPL,Stocks,307,100,Sell,191,Moderate,Bullish
2023-02-10 12:26:32,AAPL,Stocks,238,56,Buy,176,Moderate,Bullish
2023-02-12 17:00:54,AAPL,Stocks,351,70,Sell,202,Moderate,Bullish
2023-02-21 06:16:03,AAPL,Stocks,303,100,Buy,185,Moderate,Bullish
2023-02-23 09:36:53,AAPL,Stocks,399,100,Sell,218,Moderate,Bullish
2023-02-25 03:42:54,AAPL,Stocks,244,72,Buy,174,Moderate,Bullish
2023-03-09 13:05:44,AAPL,Stocks,241,70,Buy,181,Moderate,Bullish
2023-03-09 14:19:19,AAPL,Stocks,245,46,Buy,186,Moderate,Bullish
2023-03-22 14:41:37,AAPL,Stocks,267,65,Buy,180,Moderate,Bullish
2023-03-22 18:58:12,AAPL,Stocks,350,100,Sell,186,Moderate,Bullish
2023-03-26 13:13:48,AAPL,Stocks,223,60,Buy,150,Moderate,Bullish
2023-03-29 05:51:10,AAPL,Stocks,253,72,Sell,196,Moderate,Bullish
2023-04-03 10:56:38,AAPL,Stocks,300,94,Sell,212,Moderate,Bullish
2023-04-07 07:29:26,AAPL,Stocks,346,30,Buy,181,Moderate,Bullish
2023-04-25 17:08:30,AAPL,Stocks,223,100,Buy,150,Moderate,Bullish
2023-05-07 14:26:23,AAPL,Stocks,290,100,Buy,165,Moderate,Bullish
2023-05-12 02:04:17,AAPL,Stocks,378,25,Buy,179,Moderate,Bullish
2023-05-14 08:27:43,AAPL,Stocks,319,100,Sell,187,Moderate,Bullish
2023-05-19 20:21:54,AAPL,Stocks,366,84,Buy,193,Moderate,Bullish
2023-05-21 23:41:56,AAPL,Stocks,324,100,Buy,172,Moderate,Bullish
2023-05-24 18:46:19,AAPL,Stocks,325,72,Buy,182,Moderate,Bullish
2023-05-24 19:25:57,AAPL,Stocks,232,43,Buy,198,Moderate,Bullish
2023-05-25 12:40:26,AAPL,Stocks,246,95,Buy,179,Moderate,Bullish
2023-05-25 21:52:50,AAPL,Stocks,380,29,Sell,202,Moderate,Bullish
2023-05-27 21:36:37,AAPL,Stocks,317,25,Sell,211,Moderate,Bullish
2023-05-30 21:05:55,AAPL,Stocks,270,74,Buy,184,Moderate,Bullish
2023-06-01 09:51:12,AAPL,Stocks,392,76,Sell,201,Moderate,Bullish
