DateTimestamp,Ticker,Asset,CurrentHolding,Quantity,Action,PricePerShare,RiskTolerance,MarketCondition,Allocation,MarketValue
BND,Bonds,0,67,Buy,140.50868057329387,Moderate,Bullish,28,3114.4656026952434,
BND,Bonds,47,2,Buy,70.56,Moderate,Bullish,10,4021.92,
BND,Bonds,8,62,Buy,197.53075327435351,Moderate,Bullish,42,2416.3815416145258,
BND,Bonds,29,30,Buy,111.93042037517955,Moderate,Bullish,19,3519.4263423721904,
BND,Bonds,1,79,Buy,276.9285064838146,Moderate,Bullish,62,1403.9597055767358,
BND,Bonds,0,89,Buy,249.02747008714917,Moderate,Bullish,55,1746.5219694018106,
BND,Bonds,71,2,Buy,98.71062673140335,Moderate,Bullish,16,3693.574571777609,
BND,Bonds,0,68,Buy,70.56,Moderate,Bullish,10,4021.92,
BND,Bonds,0,71,Buy,70.56,Moderate,Bullish,10,4021.92,811.1040788197706
BND,Bonds,15,58,Buy,226.29244803581383,Moderate,Bullish,49,2055.7017612344107,
BND,Bonds,93,2,Buy,189.52286334731113,Moderate,Bullish,38,2595.7444288511956,949.92
BND,Bonds,57,2,Buy,101.86653508906758,Moderate,Bullish,16,3674.293519236244,
BND,Bonds,0,55,Buy,70.56,Moderate,Bullish,10,4021.92,838.8908356347359
BND,Bonds,32,7,Buy,70.56,Moderate,Bullish,10,4021.92,
BND,Bonds,36,43,Buy,244.44238365040616,Moderate,Bullish,54,1820.5378436375936,834.6788910818026
BND,Bonds,14,62,Buy,239.12474890524078,Moderate,Bullish,53,1882.1815794808756,
BND,Bonds,0,94,Buy,70.56,Moderate,Bullish,10,4021.92,782.68
BND,Bonds,80,2,Buy,73.7951112394681,Moderate,Bullish,10,4021.92,949.92
BND,Bonds,6,49,Buy,106.82449392658543,Moderate,Bullish,17,3593.507492610334,879.4004728447082
BND,Bonds,23,32,Buy,76.0427364494108,Moderate,Bullish,10,3963.971297647394,
BND,Bonds,57,12,Buy,195.09038873214357,Moderate,Bullish,40,2494.9157948930524,
BND,Bonds,0,52,Buy,70.56,Moderate,Bullish,10,4021.92,
BND,Bonds,44,29,Buy,200.27662096706007,Moderate,Bullish,43,2379.8800754192052,
BND,Bonds,29,39,Buy,175.33167222127233,Moderate,Bullish,36,2711.2647624264155,860.71527558864
BND,Bonds,16,57,Buy,222.14080503651223,Moderate,Bullish,48,2114.0794863719498,
BND,Bonds,0,69,Buy,70.56,Moderate,Bullish,10,4021.92,
BND,Bonds,28,53,Buy,282.7962811946017,Moderate,Bullish,64,1342.3318444959168,
BND,Bonds,0,84,Buy,70.56,Moderate,Bullish,10,4021.92,782.68
BND,Bonds,0,72,Buy,144.05981844138498,Moderate,Bullish,28,3091.644230885533,
BND,Bonds,85,2,Buy,123.2834790923643,Moderate,Bullish,22,3401.860781079142,948.9650184331248
BND,Bonds,0,94,Buy,204.34651061129546,Moderate,Bullish,42,2338.7727697850464,811.6105283632355
BND,Bonds,57,12,Buy,145.7717022352989,Moderate,Bullish,30,3063.418873312098,850.162088174701
BND,Bonds,22,59,Buy,273.6849188483591,Moderate,Bullish,61,1453.1851331557123,
BND,Bonds,0,94,Buy,71.14312215489593,Moderate,Bullish,11,3964.954999038436,782.68
BND,Bonds,93,2,Buy,163.75487373528318,Moderate,Bullish,33,2891.532534355876,949.92
BND,Bonds,86,2,Buy,217.96515582701716,Moderate,Bullish,48,2170.2286774478425,
BND,Bonds,55,5,Buy,100.14609201659565,Moderate,Bullish,17,3669.6831318948307,895.5810768506767
BND,Bonds,93,2,Buy,170.20040079795766,Moderate,Bullish,34,2828.6980200242397,949.92
BND,Bonds,93,2,Buy,230.90557246038904,Moderate,Bullish,51,2023.218762047408,
BND,Bonds,0,51,Buy,70.56,Moderate,Bullish,10,4021.92,815.1278431157926
BND,Bonds,38,20,Buy,108.37941676106311,Moderate,Bullish,18,3577.7200050126357,
BND,Bonds,83,2,Buy,268.5460514706911,Moderate,Bullish,60,1544.5375162281453,903.9425915144475
BND,Bonds,0,94,Buy,233.64822683849562,Moderate,Bullish,51,1935.7061718529314,
BND,Bonds,32,37,Buy,209.07035964278927,Moderate,Bullish,43,2316.0388111161164,
BND,Bonds,76,2,Buy,200.742469339004,Moderate,Bullish,42,2419.6490792065465,932.2794084427377
BND,Bonds,41,36,Buy,260.05053093411266,Moderate,Bullish,57,1662.8364188425326,896.0080963796612
BND,Bonds,26,42,Buy,204.07449967605282,Moderate,Bullish,42,2370.3120733209885,890.281669100002
BND,Bonds,19,36,Buy,76.5195054728768,Moderate,Bullish,11,3956.432107925358,859.4083321261427
BND,Stocks,0,94,Buy,304.71201777707506,Moderate,Bullish,69,1064.5706309762118,804.3562191863217
BND,Bonds,40,18,Buy,97.27282810683027,Moderate,Bullish,16,3705.258650799436,
BND,Bonds,33,25,Buy,107.78150367172441,Moderate,Bullish,18,3579.1454843521788,
BND,Bonds,53,25,Buy,262.8447295452589,Moderate,Bullish,58,1626.0193410991983,901.6564784951029
BND,Bonds,56,28,Buy,283.1252161007559,Moderate,Bullish,64,1347.6201042227603,
BND,Bonds,47,2,Buy,70.56,Moderate,Bullish,10,4021.92,
BND,Bonds,0,55,Buy,70.56,Moderate,Bullish,10,4021.92,
BND,Bonds,15,42,Buy,75.98079576131747,Moderate,Bullish,11,3938.5872180210567,
BND,Bonds,0,94,Buy,248.53604093472265,Moderate,Bullish,56,1717.6476924997946,
BND,Bonds,14,45,Buy,125.73039197227448,Moderate,Bullish,23,3341.8678493177895,
BND,Bonds,72,8,Buy,247.95911403732399,Moderate,Bullish,55,1800.2488348230108,
BND,Bonds,15,53,Buy,182.690176852476,Moderate,Bullish,38,2610.091697865903,842.99271186271
BND,Bonds,11,42,Buy,88.94401443017676,Moderate,Bullish,13,3824.6364883087617,891.8163318530027
BND,Bonds,7,69,Buy,229.13105377982316,Moderate,Bullish,50,2003.1518240273517,802.7012561034886
BND,Bonds,33,42,Buy,231.13672330409557,Moderate,Bullish,50,2001.5227442817982,
BND,Bonds,45,29,Buy,223.10710630350337,Moderate,Bullish,48,2109.039440616074,870.0794745318383
VGT,Stocks,75,62,Sell,390.76,Moderate,Bullish,90,35.0,852.328985609487
VGT,Stocks,55,30,Buy,323.7245588745698,Moderate,Bullish,73,867.4412900085042,911.7900764078985
VGT,Stocks,0,92,Buy,380.4122528314343,Moderate,Bullish,87,135.6893461731313,849.1123542148824
VGT,Stocks,47,67,Buy,390.76,Moderate,Bullish,90,35.0,
VGT,Stocks,42,41,Buy,303.88777973962283,Moderate,Bullish,68,1104.5076550590945,884.2029832412727
VGT,Stocks,22,68,Buy,342.60509932195976,Moderate,Bullish,79,581.5989421972627,819.0086031821795
VGT,Stocks,66,39,Buy,390.76,Moderate,Bullish,90,35.0,
VGT,Stocks,54,39,Buy,368.89687368449756,Moderate,Bullish,85,274.8050305251129,874.2307563210684
VGT,Stocks,80,16,Sell,390.76,Moderate,Bullish,90,35.0,949.92
VGT,Stocks,55,30,Buy,318.3431596491272,Moderate,Bullish,72,927.6096783048085,900.0684425947616
VGT,Stocks,78,44,Buy,390.76,Moderate,Bullish,90,35.0,
VGT,Stocks,93,2,Sell,390.76,Moderate,Bullish,90,35.0,
VGT,Stocks,36,56,Buy,353.83801854061153,Moderate,Bullish,82,442.7023589659034,832.3146732031687
VGT,Stocks,93,41,Sell,390.76,Moderate,Bullish,90,35.0,
VGT,Stocks,38,62,Buy,390.76,Moderate,Bullish,90,35.0,874.0115104124027
VGT,Bonds,90,2,Buy,240.74687897891525,Moderate,Bullish,51,1941.744217503884,949.92
VGT,Stocks,93,8,Sell,390.76,Moderate,Bullish,90,35.0,918.1504981102767
VGT,Stocks,61,22,Buy,304.92718456600915,Moderate,Bullish,68,1098.5746087559783,
VGT,Stocks,40,65,Buy,390.76,Moderate,Bullish,90,35.0,866.4710239248753
VGT,Stocks,93,4,Sell,390.76,Moderate,Bullish,90,35.0,949.5291414734444
VGT,Bonds,93,2,Buy,293.3379297452815,Moderate,Bullish,66,1250.1415010273126,941.5893665651085
VGT,Stocks,72,24,Buy,378.0599117837729,Moderate,Bullish,88,155.77541719226997,883.4545621791224
VGT,Stocks,0,94,Buy,390.76,Moderate,Bullish,90,35.0,782.68
VGT,Stocks,0,94,Buy,345.8158156078833,Moderate,Bullish,79,528.5283519537059,
VGT,Stocks,58,28,Buy,339.727642510072,Moderate,Bullish,77,674.370507799528,924.9745454990311
VGT,Stocks,93,2,Sell,390.76,Moderate,Bullish,90,35.0,898.4164304128927
VGT,Stocks,17,70,Buy,337.28080071989626,Moderate,Bullish,77,664.9260917434792,
VGT,Stocks,0,94,Buy,344.14930858055493,Moderate,Bullish,79,545.8168101469146,
VGT,Stocks,93,2,Sell,390.76,Moderate,Bullish,90,35.0,938.0406192442432
VGT,Stocks,87,18,Sell,390.76,Moderate,Bullish,90,35.0,
VGT,Stocks,44,72,Buy,390.76,Moderate,Bullish,90,35.0,788.8797915765754
VGT,Stocks,45,50,Buy,378.8111775230466,Moderate,Bullish,89,126.40621986889778,835.930503244091
VGT,Stocks,83,7,Sell,364.72148993275243,Moderate,Bullish,83,378.6108711038605,
VGT,Stocks,18,82,Buy,390.76,Moderate,Bullish,90,35.0,845.2320768359381
VGT,Stocks,58,38,Buy,376.2429143995947,Moderate,Bullish,88,163.98777101085966,851.9374720083764
VGT,Stocks,3,94,Buy,390.76,Moderate,Bullish,90,35.0,782.68
