DateTimestamp,Ticker,Asset,CurrentHolding,Quantity,Action,Price,RiskTolerance,MarketCondition
2023-01-03 09:30:00,AAPL,Stocks,100,100,Buy,150,Moderate,Bullish
2023-01-30 09:45:00,AAPL,Stocks,200,50,Sell,200,Moderate,Bullish
2023-02-05 11:20:00,AAPL,Stocks,150,50,Buy,175,Moderate,Bullish
2023-02-28 10:10:00,AAPL,Stocks,200,25,Sell,180,Moderate,Bullish
2023-03-01 09:30:00,AAPL,Stocks,175,50,Buy,190,Moderate,Bullish
2023-04-01 09:30:00,AAPL,Stocks,225,75,Sell,200,Moderate,Bullish
2023-04-30 10:10:00,AAPL,Stocks,150,100,Buy,180,Moderate,Bullish
2023-05-01 09:30:00,AAPL,Stocks,250,100,Buy,180,Moderate,Bullish
2023-06-30 10:10:00,AAPL,Stocks,350,50,Sell,210,Moderate,Bullish
2023-07-01 09:30:00,AAPL,Stocks,300,75,Buy,195,Moderate,Bullish
2023-08-31 10:10:00,AAPL,Stocks,375,100,Sell,220,Moderate,Bullish
2023-09-01 09:30:00,AAPL,Stocks,275,25,Buy,185,Moderate,Bullish
2023-10-31 10:10:00,AAPL,Stocks,300,100,Sell,230,Moderate,Bullish
2023-11-01 09:30:00,AAPL,Stocks,200,50,Buy,170,Moderate,Bullish
2023-12-31 10:10:00,AAPL,Stocks,250,50,Sell,240,Moderate,Bullish
